paper_name,libero_object,libero_object_prev_sota,delta_libero_object,P_A,Delta_necessary,Delta_sufficient,delta_bin
SmoothVLA: Aligning Vision-Language-Action Models with Physical Constraints via Intrinsic Smoothness Optimization,94.2,92.1,0.02100000000000013,0.92,0.006,0.028,possibly_significant
SnapFlow: One-Step Action Generation for Flow-Matching VLAs via Progressive Self-Distillation,100.0,100.0,0.0,1.0,,,certainly_significant
Speedup Patch: Learning a Plug-and-Play Policy to Accelerate Embodied Manipulation,99.4,98.8,0.006000000000000116,0.988,0.006,0.01,possibly_significant
ST-$π$: Structured SpatioTemporal VLA for Robotic Manipulation,98.3,98.2,0.0010000000000000009,0.982,0.006,0.012,not_significant
Stable Language Guidance for Vision-Language-Action Models,99.2,98.8,0.0040000000000000036,0.988,0.006,0.01,not_significant
StarVLA: A Lego-like Codebase for Vision-Language-Action Model Developing,98.6,98.8,-0.0020000000000000018,0.988,0.006,0.01,negative
StarVLA-$α$: Reducing Complexity in Vision-Language-Action Systems,99.8,98.8,0.010000000000000009,0.988,0.006,0.01,certainly_significant
StreamingVLA: Streaming Vision-Language-Action Model with Action Flow Matching and Adaptive Early Observation,96.6,99.2,-0.026000000000000023,0.992,0.006,0.008,negative
StreamVLA: Breaking the Reason-Act Cycle via Completion-State Gating,99.4,98.8,0.006000000000000116,0.988,0.006,0.01,possibly_significant
Test-Time Perturbation Learning with Delayed Feedback for Vision-Language-Action Models,72.0,92.0,-0.20000000000000007,0.92,0.006,0.028,negative
Thinking in Text and Images: Interleaved Vision--Language Reasoning Traces for Long-Horizon Robot Manipulation,95.8,97.8,-0.020000000000000018,0.978,0.006,0.014,negative
Towards Long-Lived Robots: Continual Learning VLA Models via Reinforcement Fine-Tuning,99.2,98.8,0.0040000000000000036,0.988,0.006,0.01,not_significant
Towards Practical World Model-based Reinforcement Learning for Vision-Language-Action Models,96.6,92.4,0.041999999999999926,0.924,0.006,0.028,certainly_significant
TTQ: Activation-Aware Test-Time Quantization to Accelerate LLM Inference On The Fly,100.0,100.0,0.0,1.0,,,certainly_significant
Universal Pose Pretraining for Generalizable Vision-Language-Action Policies,98.0,98.8,-0.008000000000000007,0.988,0.006,0.01,negative
Unmasking the Illusion of Embodied Reasoning in Vision-Language-Action Models,97.6,99.6,-0.020000000000000018,0.996,,,negative
VISTA: Enhancing Visual Conditioning via Track-Following Preference Optimization in Vision-Language-Action Models,91.6,92.5,-0.009000000000000119,0.924,0.006,0.028,negative
VLA-Adapter: An Effective Paradigm for Tiny-Scale Vision-Language-Action Model,99.2,98.8,0.0040000000000000036,0.988,0.006,0.01,not_significant
VLA-GSE: Boosting Parameter-Efficient Fine-Tuning in VLA with Generalized and Specialized Experts,99.8,99.2,0.006000000000000005,0.992,0.006,0.008,possibly_significant
VLA-IAP: Training-Free Visual Token Pruning via Interaction Alignment for Vision-Language-Action Models,99.6,98.4,0.0119999999999999,0.984,0.006,0.012,possibly_significant
VLA-InfoEntropy: A Training-Free Vision-Attention Information Entropy Approach for Vision-Language-Action Models Inference Acceleration and Success,87.6,86.6,0.009999999999999898,0.866,0.006,0.036,possibly_significant
VLA-JEPA: Enhancing Vision-Language-Action Model with Latent World Model,99.6,98.8,0.008000000000000007,0.988,0.006,0.01,possibly_significant
VLA-Thinker: Boosting Vision-Language-Action Models through Thinking-with-Image Reasoning,99.0,98.8,0.0020000000000000018,0.988,0.006,0.01,not_significant
VolumeDP: Modeling Volumetric Representation for Manipulation Policy Learning,95.9,92.5,0.03400000000000003,0.924,0.006,0.028,certainly_significant
When Vision Overrides Language: Evaluating and Mitigating Counterfactual Failures in VLAs,98.2,98.8,-0.006000000000000005,0.988,0.006,0.01,negative
World-Value-Action Model: Implicit Planning for Vision-Language-Action Systems,100.0,99.2,0.008000000000000007,0.992,0.006,0.008,certainly_significant
World2Act: Latent Action Post-Training via Skill-Compositional World Models,100.0,100.0,0.0,1.0,,,certainly_significant
WoVR: World Models as Reliable Simulators for Post-Training VLA Policies with RL,82.0,48.0,0.33999999999999997,0.48,0.006,0.074,certainly_significant
Xiaomi-Robotics-0: An Open-Sourced Vision-Language-Action Model with Real-Time Execution,100.0,99.8,0.0020000000000000018,0.998,,,certainly_significant
You've Got a Golden Ticket: Improving Generative Robot Policies With A Single Noise Vector,100.0,92.0,0.07999999999999996,0.92,0.006,0.028,certainly_significant
One Token Per Frame: Reconsidering Visual Bandwidth in World Models for VLA Policy,99.6,98.8,0.008000000000000007,0.988,0.006,0.01,possibly_significant
OA-WAM: Object-Addressable World Action Model for Robust Robot Manipulation,99.0,99.6,-0.006000000000000005,0.996,,,negative
PRTS: A Primitive Reasoning and Tasking System via Contrastive Representations,99.8,99.8,0.0,0.998,,,certainly_significant
TAG: Target-Agnostic Guidance for Stable Object-Centric Inference in Vision-Language-Action Models,99.2,99.0,0.0020000000000000018,0.99,0.006,0.01,not_significant
Global Prior Meets Local Consistency: Dual-Memory Augmented Vision-Language-Action Model for Efficient Robotic Manipulation,99.8,98.8,0.010000000000000009,0.988,0.006,0.01,certainly_significant
VLANeXt: Recipes for Building Strong VLA Models,99.2,99.1,0.0010000000000000009,0.992,0.006,0.008,not_significant
HBVLA: Pushing 1-Bit Post-Training Quantization for Vision-Language-Action Models,97.8,76.0,0.21799999999999997,0.76,0.006,0.05,certainly_significant
IVRA: Improving Visual-Token Relations for Robot Action Policy with Training-Free Hint-Based Guidance,99.9,99.3,0.006000000000000116,0.992,0.006,0.008,possibly_significant
VAT: Vision Action Transformer by Unlocking Full Representation of ViT,99.4,98.8,0.006000000000000116,0.988,0.006,0.01,possibly_significant
Much Ado About Noising: Dispelling the Myths of Generative Robotic Control,95.8,97.4,-0.016000000000000125,0.974,0.006,0.016,negative
Expertise Need Not Monopolize: Action-Specialized Mixture of Experts for Vision-Language-Action Learning,95.0,98.8,-0.038000000000000034,0.988,0.006,0.01,negative
3D CAVLA: Leveraging Depth and 3D Context to Generalize Vision Language Action Models for Unseen Tasks,99.8,98.8,0.010000000000000009,0.988,0.006,0.01,certainly_significant
VGGT-$\Omega$,99.2,98.8,0.0040000000000000036,0.988,0.006,0.01,not_significant
IntentVLA: Short-Horizon Intent Modeling for Aliased Robot Manipulation,99.7,99.6,0.0010000000000000009,0.996,,,certainly_significant
BlockVLA: Accelerating Autoregressive VLA via Block Diffusion Finetuning,97.6,96.6,0.010000000000000009,0.966,0.006,0.018,possibly_significant
FrameSkip: Learning from Fewer but More Informative Frames in VLA Training,99.0,99.0,0.0,0.99,0.006,0.01,not_significant
Realtime-VLA FLASH: Speculative Inference Framework for Diffusion-based VLAs,99.2,98.8,0.0040000000000000036,0.988,0.006,0.01,not_significant
"Guide, Think, Act: Interactive Embodied Reasoning in Vision-Language-Action Models",98.8,99.0,-0.0020000000000000018,0.99,0.006,0.01,negative
DreamAvoid: Critical-Phase Test-Time Dreaming to Avoid Failures in VLA Policies,98.5,99.0,-0.0050000000000000044,0.99,0.006,0.01,negative
Beyond World-Frame Action Heads: Motion-Centric Action Frames for Vision-Language-Action Models,98.8,98.8,0.0,0.988,0.006,0.01,not_significant
Learning Action Manifold with Multi-view Latent Priors for Robotic Manipulation,99.8,99.8,0.0,0.998,,,certainly_significant
See What Matters: Differentiable Grid Sample Pruning for Generalizable Vision-Language-Action Model,98.8,98.8,0.0,0.988,0.006,0.01,not_significant
Premover: Fast Vision-Language-Action Control by Acting Before Instructions Are Complete,99.1,97.4,0.016999999999999904,0.974,0.006,0.016,certainly_significant
From Imagined Futures to Executable Actions: Mixture of Latent Actions for Robot Manipulation,99.5,95.0,0.04500000000000004,0.95,0.006,0.022,certainly_significant
Dynamic Execution Commitment of Vision-Language-Action Models,99.4,99.8,-0.0039999999999998925,0.998,,,negative
ALAM: Algebraically Consistent Latent Action Model for Vision-Language-Action Models,99.6,98.8,0.008000000000000007,0.988,0.006,0.01,possibly_significant
PriorVLA: Prior-Preserving Adaptation for Vision-Language-Action Models,99.8,98.8,0.010000000000000009,0.988,0.006,0.01,certainly_significant
CapVector: Learning Transferable Capability Vectors in Parametric Space for Vision-Language-Action Models,98.4,99.2,-0.007999999999999896,0.992,0.006,0.008,negative
LoopVLA: Learning Sufficiency in Recurrent Refinement for Vision-Language-Action Models,100.0,98.8,0.01200000000000001,0.988,0.006,0.01,certainly_significant
ECHO: Continuous Hierarchical Memory for Vision-Language-Action Models,98.8,98.4,0.0039999999999998925,0.984,0.006,0.012,not_significant
ElasticFlow: One-Step Physics-Consistent Policy with Elastic Time Horizons for Language-Guided Manipulation,99.3,99.4,-0.001000000000000112,0.994,0.006,0.006,negative
ForgeVLA: Federated Vision-Language-Action Learning without Language Annotations,98.6,97.6,0.010000000000000009,0.976,0.006,0.014,possibly_significant
Failing Forward: Adaptive Failure-Informed Learning for Vision-Language-Action Models,99.7,98.2,0.015000000000000013,0.982,0.006,0.012,certainly_significant
