paper_name,libero_goal,libero_goal_prev_sota,delta_libero_goal,P_A,Delta_necessary,Delta_sufficient,delta_bin
"Rethinking Visual-Language-Action Model Scaling: Alignment, Mixture, and Regularization",98.4,98.0,0.004000000000000115,0.98,0.006,0.014,not_significant
ReViP: Mitigating False Completion in Vision-Language-Action Models with Vision-Proprioception Rebalance,96.6,95.8,0.008000000000000007,0.958,0.006,0.02,possibly_significant
RoboAlign: Learning Test-Time Reasoning for Language-Action Alignment in Vision-Language-Action Models,87.2,87.6,-0.0039999999999998925,0.876,0.006,0.036,negative
Robotic Manipulation is Vision-to-Geometry Mapping ($f(v) \rightarrow G$): Vision-Geometry Backbones over Language and Video Models,98.6,99.0,-0.0040000000000000036,0.99,0.006,0.01,negative
ROCKET: Residual-Oriented Multi-Layer Alignment for Spatially-Aware Vision-Language-Action Models,98.8,98.8,0.0,0.988,0.006,0.01,not_significant
SaiVLA-0: Cerebrum--Pons--Cerebellum Tripartite Architecture for Compute-Aware Vision-Language-Action,98.2,98.0,0.0020000000000000018,0.98,0.006,0.014,not_significant
"Say, Dream, and Act: Learning Video World Models for Instruction-Driven Robot Manipulation",98.2,97.9,0.0029999999999998916,0.98,0.006,0.014,not_significant
"See, Plan, Rewind: Progress-Aware Vision-Language-Action Models for Robust Robotic Manipulation",93.2,88.6,0.04600000000000015,0.886,0.006,0.034,certainly_significant
Shallow-π: Knowledge Distillation for Flow-based VLAs,97.0,98.0,-0.010000000000000009,0.98,0.006,0.014,negative
SimVLA: A Simple VLA Baseline for Robotic Manipulation,98.6,98.0,0.006000000000000005,0.98,0.006,0.014,possibly_significant
SmoothVLA: Aligning Vision-Language-Action Models with Physical Constraints via Intrinsic Smoothness Optimization,84.0,82.9,0.010999999999999899,0.83,0.006,0.042,possibly_significant
SnapFlow: One-Step Action Generation for Flow-Matching VLAs via Progressive Self-Distillation,99.0,97.6,0.014000000000000012,0.976,0.006,0.014,certainly_significant
Speedup Patch: Learning a Plug-and-Play Policy to Accelerate Embodied Manipulation,98.6,98.0,0.006000000000000005,0.98,0.006,0.014,possibly_significant
ST-$π$: Structured SpatioTemporal VLA for Robotic Manipulation,96.9,96.8,0.001000000000000112,0.968,0.006,0.018,not_significant
Stable Language Guidance for Vision-Language-Action Models,95.8,97.2,-0.014000000000000012,0.972,0.006,0.016,negative
StarVLA: A Lego-like Codebase for Vision-Language-Action Model Developing,96.2,97.9,-0.017000000000000015,0.98,0.006,0.014,negative
StarVLA-$α$: Reducing Complexity in Vision-Language-Action Systems,98.5,98.0,0.0050000000000000044,0.98,0.006,0.014,not_significant
StreamingVLA: Streaming Vision-Language-Action Model with Action Flow Matching and Adaptive Early Observation,95.4,98.0,-0.025999999999999912,0.98,0.006,0.014,negative
StreamVLA: Breaking the Reason-Act Cycle via Completion-State Gating,98.6,98.0,0.006000000000000005,0.98,0.006,0.014,possibly_significant
Test-Time Perturbation Learning with Delayed Feedback for Vision-Language-Action Models,86.0,85.0,0.010000000000000009,0.85,0.006,0.038,possibly_significant
Thinking in Text and Images: Interleaved Vision--Language Reasoning Traces for Long-Horizon Robot Manipulation,97.0,96.2,0.007999999999999896,0.962,0.006,0.018,possibly_significant
Towards Long-Lived Robots: Continual Learning VLA Models via Reinforcement Fine-Tuning,95.8,95.8,0.0,0.958,0.006,0.02,not_significant
Towards Practical World Model-based Reinforcement Learning for Vision-Language-Action Models,92.8,90.8,0.020000000000000018,0.908,0.006,0.03,possibly_significant
TTQ: Activation-Aware Test-Time Quantization to Accelerate LLM Inference On The Fly,93.5,97.0,-0.03499999999999992,0.97,0.006,0.016,negative
Universal Pose Pretraining for Generalizable Vision-Language-Action Policies,97.1,98.0,-0.009000000000000008,0.98,0.006,0.014,negative
Unmasking the Illusion of Embodied Reasoning in Vision-Language-Action Models,98.2,99.4,-0.012000000000000122,0.994,0.006,0.006,negative
VISTA: Enhancing Visual Conditioning via Track-Following Preference Optimization in Vision-Language-Action Models,84.2,84.6,-0.0039999999999998925,0.846,0.006,0.04,negative
VLA-Adapter: An Effective Paradigm for Tiny-Scale Vision-Language-Action Model,97.2,97.9,-0.007000000000000117,0.98,0.006,0.014,negative
VLA-GSE: Boosting Parameter-Efficient Fine-Tuning in VLA with Generalized and Specialized Experts,98.2,98.0,0.0020000000000000018,0.98,0.006,0.014,not_significant
VLA-IAP: Training-Free Visual Token Pruning via Interaction Alignment for Vision-Language-Action Models,98.4,98.3,0.001000000000000112,0.984,0.006,0.012,not_significant
VLA-InfoEntropy: A Training-Free Vision-Attention Information Entropy Approach for Vision-Language-Action Models Inference Acceleration and Success,79.4,76.4,0.030000000000000027,0.764,0.006,0.05,possibly_significant
VLA-JEPA: Enhancing Vision-Language-Action Model with Latent World Model,97.2,98.0,-0.008000000000000007,0.98,0.006,0.014,negative
VLA-Thinker: Boosting Vision-Language-Action Models through Thinking-with-Image Reasoning,95.2,95.8,-0.005999999999999894,0.958,0.006,0.02,negative
VolumeDP: Modeling Volumetric Representation for Manipulation Policy Learning,89.9,76.2,0.137,0.762,0.006,0.05,certainly_significant
When Vision Overrides Language: Evaluating and Mitigating Counterfactual Failures in VLAs,98.0,98.0,0.0,0.98,0.006,0.014,not_significant
World-Value-Action Model: Implicit Planning for Vision-Language-Action Systems,98.6,98.0,0.006000000000000005,0.98,0.006,0.014,possibly_significant
World2Act: Latent Action Post-Training via Skill-Compositional World Models,98.3,99.2,-0.009000000000000008,0.992,0.006,0.008,negative
WoVR: World Models as Reliable Simulators for Post-Training VLA Policies with RL,77.5,54.6,0.22899999999999998,0.546,0.006,0.068,certainly_significant
Xiaomi-Robotics-0: An Open-Sourced Vision-Language-Action Model with Real-Time Execution,98.8,99.2,-0.0040000000000000036,0.992,0.006,0.008,negative
You've Got a Golden Ticket: Improving Generative Robot Policies With A Single Noise Vector,94.4,81.6,0.1280000000000001,0.816,0.006,0.044,certainly_significant
One Token Per Frame: Reconsidering Visual Bandwidth in World Models for VLA Policy,99.0,98.0,0.010000000000000009,0.98,0.006,0.014,possibly_significant
OA-WAM: Object-Addressable World Action Model for Robust Robot Manipulation,97.4,98.0,-0.005999999999999894,0.98,0.006,0.014,negative
PRTS: A Primitive Reasoning and Tasking System via Contrastive Representations,98.4,99.0,-0.005999999999999894,0.99,0.006,0.01,negative
TAG: Target-Agnostic Guidance for Stable Object-Centric Inference in Vision-Language-Action Models,97.4,97.5,-0.0009999999999998899,0.976,0.006,0.014,negative
Global Prior Meets Local Consistency: Dual-Memory Augmented Vision-Language-Action Model for Efficient Robotic Manipulation,98.4,98.0,0.004000000000000115,0.98,0.006,0.014,not_significant
VLANeXt: Recipes for Building Strong VLA Models,96.6,97.9,-0.013000000000000123,0.98,0.006,0.014,negative
HBVLA: Pushing 1-Bit Post-Training Quantization for Vision-Language-Action Models,91.3,89.6,0.017000000000000015,0.896,0.006,0.032,possibly_significant
IVRA: Improving Visual-Token Relations for Robot Action Policy with Training-Free Hint-Based Guidance,97.6,96.9,0.006999999999999895,0.97,0.006,0.016,possibly_significant
VAT: Vision Action Transformer by Unlocking Full Representation of ViT,97.6,97.9,-0.0030000000000001137,0.98,0.006,0.014,negative
Much Ado About Noising: Dispelling the Myths of Generative Robotic Control,95.2,95.0,0.002000000000000113,0.95,0.006,0.022,not_significant
Expertise Need Not Monopolize: Action-Specialized Mixture of Experts for Vision-Language-Action Learning,97.2,95.8,0.014000000000000012,0.958,0.006,0.02,possibly_significant
3D CAVLA: Leveraging Depth and 3D Context to Generalize Vision Language Action Models for Unseen Tasks,98.2,97.9,0.0029999999999998916,0.98,0.006,0.014,not_significant
VGGT-$\Omega$,99.0,97.9,0.010999999999999899,0.98,0.006,0.014,possibly_significant
IntentVLA: Short-Horizon Intent Modeling for Aliased Robot Manipulation,98.1,98.0,0.0010000000000000009,0.98,0.006,0.014,not_significant
BlockVLA: Accelerating Autoregressive VLA via Block Diffusion Finetuning,93.2,94.2,-0.010000000000000009,0.942,0.006,0.024,negative
FrameSkip: Learning from Fewer but More Informative Frames in VLA Training,98.2,98.0,0.0020000000000000018,0.98,0.006,0.014,not_significant
Realtime-VLA FLASH: Speculative Inference Framework for Diffusion-based VLAs,94.4,95.8,-0.013999999999999901,0.958,0.006,0.02,negative
"Guide, Think, Act: Interactive Embodied Reasoning in Vision-Language-Action Models",98.4,98.0,0.004000000000000115,0.98,0.006,0.014,not_significant
DreamAvoid: Critical-Phase Test-Time Dreaming to Avoid Failures in VLA Policies,99.0,98.0,0.010000000000000009,0.98,0.006,0.014,possibly_significant
Beyond World-Frame Action Heads: Motion-Centric Action Frames for Vision-Language-Action Models,98.4,97.9,0.0050000000000000044,0.98,0.006,0.014,not_significant
Learning Action Manifold with Multi-view Latent Priors for Robotic Manipulation,99.0,98.8,0.0020000000000000018,0.988,0.006,0.01,not_significant
See What Matters: Differentiable Grid Sample Pruning for Generalizable Vision-Language-Action Model,98.4,97.6,0.008000000000000118,0.976,0.006,0.014,possibly_significant
Premover: Fast Vision-Language-Action Control by Acting Before Instructions Are Complete,93.7,94.9,-0.01200000000000001,0.95,0.006,0.022,negative
From Imagined Futures to Executable Actions: Mixture of Latent Actions for Robot Manipulation,99.5,92.0,0.07499999999999996,0.92,0.006,0.028,certainly_significant
Dynamic Execution Commitment of Vision-Language-Action Models,98.0,98.2,-0.0020000000000000018,0.982,0.006,0.012,negative
ALAM: Algebraically Consistent Latent Action Model for Vision-Language-Action Models,99.0,98.0,0.010000000000000009,0.98,0.006,0.014,possibly_significant
PriorVLA: Prior-Preserving Adaptation for Vision-Language-Action Models,99.4,98.0,0.014000000000000123,0.98,0.006,0.014,certainly_significant
CapVector: Learning Transferable Capability Vectors in Parametric Space for Vision-Language-Action Models,96.8,96.8,0.0,0.968,0.006,0.018,not_significant
LoopVLA: Learning Sufficiency in Recurrent Refinement for Vision-Language-Action Models,97.4,97.2,0.002000000000000113,0.972,0.006,0.016,not_significant
ECHO: Continuous Hierarchical Memory for Vision-Language-Action Models,98.6,96.4,0.02199999999999991,0.964,0.006,0.018,certainly_significant
ElasticFlow: One-Step Physics-Consistent Policy with Elastic Time Horizons for Language-Guided Manipulation,98.7,97.9,0.007999999999999896,0.98,0.006,0.014,possibly_significant
ForgeVLA: Federated Vision-Language-Action Learning without Language Annotations,55.2,28.8,0.264,0.288,0.006,0.06,certainly_significant
Failing Forward: Adaptive Failure-Informed Learning for Vision-Language-Action Models,98.1,98.0,0.0010000000000000009,0.98,0.006,0.014,not_significant
